keyword,keyword_original,source,language,country,volume,difficulty,cpc,position,serp_features,traffic_potential,clicks,impressions,ctr,intent_query_type,intent_funnel_stage,intent_modality,intent_temporal,cluster_head,cluster_size,aio_eligibility,geo_opportunity,quick_win_flag,striking_distance_flag,branded_flag,question_flag,paa_flag,seasonality_class,long_tail_flag,score_main,score_quick_win,score_strategic,score_aeo_defensive,confidence_main,confidence_quick_win,confidence_strategic,confidence_aeo_defensive,recommended_action_class,source_file,source_row
running shoes,running shoes,semrush,en,US,165000,72,1.85,3,"featured_snippet,paa,ai_overview,shopping",18500,,,,informational,awareness,typed,evergreen,running shoes,67,confirmed,aio_only,,,,,yes,evergreen,head,73.0,0.0,66.8,41.0,0.565,0.0,0.8,0.8,monitor,assets\samples_followup\semrush_export.csv,2
running shoes for men,running shoes for men,moz,en,US,42000,50,,,shopping,,,,40.0,transactional,decision,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,72.9,0.0,68.5,21.2,0.602,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,4
example shoes login,example shoes login,semrush,en,US,1900,15,0.45,1,,820,,,,navigational,consideration,typed,evergreen,example shoes coupon code,6,not_eligible,neither,,,yes,,,evergreen,mid,72.7,0.0,60.6,39.6,0.822,0.0,0.8,0.8,monitor,assets\samples_followup\semrush_export.csv,39
how to choose running shoes,how to choose running shoes,semrush,en,US,5400,28,0.95,7,"featured_snippet,paa,ai_overview",520,,,,informational,awareness,typed,evergreen,running shoes,67,confirmed,aio_only,,top_page_climb,,yes,yes,evergreen,long_tail_classical,72.6,0.0,66.1,38.5,0.899,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,11
running shoes near me,running shoes near me,semrush,en,US,18100,45,1.25,15,"local_pack,shopping",240,,,,transactional,decision,voice,evergreen,running shoes,67,not_eligible,neither,,third_page_lift,,,,evergreen,mid,72.4,0.0,67.5,20.5,0.829,0.0,0.8,0.8,restructure,assets\samples_followup\semrush_export.csv,19
example shoes customer service,example shoes customer service,ahrefs,en,US,1300,12,0.35,1,,820,,,,navigational,consideration,typed,evergreen,example shoes coupon code,6,not_eligible,neither,,,yes,,,evergreen,mid,72.3,0.0,60.3,39.2,0.56,0.0,0.8,0.8,monitor,assets\samples_followup\ahrefs_export.csv,29
brooks running shoes,brooks running shoes,semrush,en,US,33100,55,1.85,13,shopping,480,,,,transactional,decision,typed,evergreen,brooks running shoes,2,not_eligible,neither,,second_page_break,,,,evergreen,mid,72.3,0.0,67.6,21.0,0.565,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,16
asics running shoes,asics running shoes,semrush,en,US,27100,57,1.85,9,shopping,640,,,,transactional,decision,typed,evergreen,asics running shoes,2,not_eligible,neither,,second_page_break,,,,evergreen,mid,72.3,0.0,67.0,20.9,0.565,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,18
how to break in new running shoes,how to break in new running shoes,ahrefs,en,US,1900,15,0.65,8,"featured_snippet,paa",420,,,,informational,awareness,typed,evergreen,running shoes,67,eligible,aio_only,yes,second_page_break,,yes,yes,evergreen,long_tail_classical,72.2,70.4,67.6,39.3,0.93,0.85,0.8,0.8,create,assets\samples_followup\ahrefs_export.csv,8
when should i replace my running shoes,when should i replace my running shoes,ahrefs,en,US,2400,20,0.85,7,"featured_snippet,paa,ai_overview",480,,,,informational,awareness,typed,evergreen,running shoes,67,confirmed,aio_only,yes,top_page_climb,,yes,yes,evergreen,long_tail_classical,72.2,70.2,67.5,41.8,0.93,0.85,0.8,0.8,create,assets\samples_followup\ahrefs_export.csv,9
running shoes for women,running shoes for women,semrush,en,US,49500,55,1.95,8,"shopping,ai_overview",1850,,,,informational,awareness,typed,evergreen,running shoes,67,confirmed,aio_only,,second_page_break,,,,evergreen,mid,72.1,0.0,67.3,40.4,0.612,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,5
cheap running shoes,cheap running shoes,semrush,en,US,22200,52,1.65,12,shopping,480,,,,transactional,decision,typed,evergreen,running shoes,67,not_eligible,neither,,second_page_break,,,,evergreen,mid,72.1,0.0,67.2,20.7,0.829,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,21
running shoes lacing techniques,running shoes lacing techniques,ahrefs,en,US,1300,15,0.45,6,"featured_snippet,paa",290,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,top_page_climb,,,yes,evergreen,mid,72.0,71.1,65.0,26.7,0.634,0.85,0.8,0.8,create,assets\samples_followup\ahrefs_export.csv,20
hoka running shoes,hoka running shoes,semrush,en,US,40500,58,2.05,6,"shopping,ai_overview",2100,,,,informational,awareness,typed,evergreen,hoka running shoes,2,confirmed,aio_only,,top_page_climb,,,,evergreen,mid,71.8,0.0,66.6,40.2,0.565,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,17
why do running shoes wear out,why do running shoes wear out,semrush,en,US,1300,18,0.55,5,"featured_snippet,paa,ai_overview",290,,,,informational,awareness,typed,evergreen,running shoes,67,confirmed,aio_only,yes,top_page_climb,,yes,yes,evergreen,long_tail_classical,71.8,70.9,66.7,41.2,0.899,0.85,0.8,0.8,create,assets\samples_followup\semrush_export.csv,30
brooks running shoes,brooks running shoes,moz,en,US,32000,52,,,shopping,,,,42.0,transactional,decision,typed,evergreen,brooks running shoes,2,not_eligible,neither,,,,,,evergreen,mid,71.5,0.0,67.8,21.0,0.555,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,13
running shoes for flat feet,running shoes for flat feet,ahrefs,en,US,11500,35,1.62,12,paa,495,,,,informational,awareness,typed,evergreen,running shoes for flat feet,5,possibly_eligible,neither,,,,,yes,evergreen,long_tail_classical,71.4,0.0,66.7,30.1,0.612,0.0,0.8,0.8,monitor,assets\samples_followup\ahrefs_export.csv,4
running shoes sale,running shoes sale,semrush,en,US,18100,50,1.95,14,shopping,380,,,,transactional,decision,typed,evergreen,running shoes,67,not_eligible,neither,,third_page_lift,,,,evergreen,mid,71.4,0.0,67.0,20.5,0.829,0.0,0.8,0.8,restructure,assets\samples_followup\semrush_export.csv,22
best running shoes,best running shoes,moz,en,US,85000,65,,,"paa,ai_overview",,,,32.0,commercial_investigation,consideration,typed,evergreen,running shoes,67,confirmed,aio_only,,,,,yes,evergreen,mid,71.3,0.0,70.2,40.9,0.768,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,6
new balance running shoes,new balance running shoes,moz,en,US,38000,55,,,shopping,,,,40.0,transactional,decision,typed,evergreen,new balance running shoes,2,not_eligible,neither,,,,,,evergreen,mid,71.3,0.0,67.8,21.2,0.555,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,14
running shoes outsole replacement,running shoes outsole replacement,ahrefs,en,US,290,8,0.25,3,featured_snippet,180,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,71.2,0.0,63.0,25.4,0.634,0.0,0.8,0.8,monitor,assets\samples_followup\ahrefs_export.csv,24
example shoes returns,example shoes returns,semrush,en,US,880,12,0.35,1,,420,,,,navigational,consideration,typed,evergreen,example shoes coupon code,6,not_eligible,neither,,,yes,,,evergreen,mid,71.1,0.0,59.6,38.9,0.56,0.0,0.8,0.8,monitor,assets\samples_followup\semrush_export.csv,40
what is the best running shoe for beginners,what is the best running shoe for beginners,semrush,en,US,1900,32,1.05,2,"paa,ai_overview",680,,,,informational,awareness,typed,evergreen,running shoes,67,confirmed,dual,,,,yes,yes,evergreen,long_tail_classical,71.0,0.0,68.4,46.6,0.957,0.0,0.8,0.8,monitor,assets\samples_followup\semrush_export.csv,12
best running shoes for beginners,best running shoes for beginners,moz,en,US,8200,38,,,"paa,ai_overview",,,,45.0,commercial_investigation,consideration,typed,evergreen,best running shoes for beginners,2,confirmed,aio_only,,,,,yes,evergreen,long_tail_classical,70.9,0.0,68.9,38.8,0.832,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,20
nike running shoes,nike running shoes,moz,en,US,72000,65,,,"shopping,knowledge_panel",,,,38.0,transactional,decision,typed,evergreen,nike running shoes,4,not_eligible,neither,,,,,,evergreen,mid,70.8,0.0,67.9,21.7,0.555,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,10
adidas running shoes,adidas running shoes,moz,en,US,48000,60,,,"shopping,knowledge_panel",,,,42.0,transactional,decision,typed,evergreen,adidas running shoes,3,not_eligible,neither,,,,,,evergreen,mid,70.8,0.0,67.7,21.4,0.555,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,11
running shoes width comparison,running shoes width comparison,ahrefs,en,US,720,18,0.65,11,paa,95,,,,commercial_investigation,consideration,typed,evergreen,running shoes,67,not_eligible,neither,yes,second_page_break,,,yes,evergreen,mid,70.5,70.4,66.6,21.7,0.781,0.85,0.8,0.8,create,assets\samples_followup\ahrefs_export.csv,11
example shoes affiliate program,example shoes affiliate program,ahrefs,en,US,720,8,0.25,2,,380,,,,navigational,consideration,typed,evergreen,example shoes coupon code,6,not_eligible,neither,,,yes,,,evergreen,mid,70.5,0.0,59.6,38.7,0.56,0.0,0.8,0.8,monitor,assets\samples_followup\ahrefs_export.csv,28
asics running shoes,asics running shoes,moz,en,US,28000,55,,,shopping,,,,40.0,transactional,decision,typed,evergreen,asics running shoes,2,not_eligible,neither,,,,,,evergreen,mid,70.4,0.0,67.3,20.9,0.555,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,12
trail running shoes,trail running shoes,ahrefs,en,US,32000,55,1.52,9,"shopping,ai_overview",920,,,,informational,awareness,typed,evergreen,trail running shoes,7,confirmed,aio_only,,second_page_break,,,,evergreen,mid,70.3,0.0,66.5,40.0,0.565,0.0,0.8,0.8,update,assets\samples_followup\ahrefs_export.csv,5
saucony running shoes,saucony running shoes,moz,en,US,18000,50,,,shopping,,,,45.0,transactional,decision,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,mid,70.3,0.0,67.0,20.5,0.555,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,15
running shoes for women,running shoes for women,moz,en,US,52000,52,,,"shopping,ai_overview",,,,38.0,informational,awareness,typed,evergreen,running shoes,67,confirmed,aio_only,,,,,,evergreen,mid,70.0,0.0,67.7,40.4,0.602,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,3
trail running shoes,trail running shoes,semrush,en,US,33100,58,1.45,9,"shopping,ai_overview",890,,,,informational,awareness,typed,evergreen,trail running shoes,7,confirmed,aio_only,,second_page_break,,,,evergreen,mid,69.6,0.0,66.3,40.0,0.565,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,9
running shoes drying methods,running shoes drying methods,ahrefs,en,US,720,12,0.35,9,paa,95,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,second_page_break,,,yes,evergreen,mid,69.5,68.4,64.2,26.2,0.634,0.85,0.8,0.8,create,assets\samples_followup\ahrefs_export.csv,21
hoka clifton 10 review,hoka clifton 10 review,semrush,en,US,4400,38,1.65,16,ai_overview,125,,,,commercial_investigation,consideration,typed,evergreen,hoka clifton 10 review,2,confirmed,aio_only,,third_page_lift,,,,evergreen,mid,69.5,0.0,67.8,38.3,0.781,0.0,0.8,0.8,restructure,assets\samples_followup\semrush_export.csv,25
nike pegasus 41 review,nike pegasus 41 review,semrush,en,US,8100,42,1.55,20,ai_overview,95,,,,commercial_investigation,consideration,typed,evergreen,nike pegasus 41 review,2,confirmed,aio_only,,third_page_lift,,,,evergreen,mid,69.2,0.0,68.4,38.8,0.781,0.0,0.8,0.8,restructure,assets\samples_followup\semrush_export.csv,24
running shoes for treadmill,running shoes for treadmill,ahrefs,en,US,2900,28,0.95,12,paa,195,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,second_page_break,,,yes,evergreen,mid,68.9,65.5,65.0,27.4,0.612,0.85,0.8,0.8,create,assets\samples_followup\ahrefs_export.csv,17
marathon running shoes,marathon running shoes,semrush,en,US,8100,48,1.75,7,"paa,featured_snippet",980,,,,informational,awareness,typed,evergreen,marathon running shoes,5,not_eligible,neither,,top_page_climb,,,yes,evergreen,mid,68.9,0.0,64.8,28.3,0.565,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,8
best carbon plate running shoes,best carbon plate running shoes,semrush,en,US,3200,33,2.15,19,"ai_overview,paa",,,,,commercial_investigation,consideration,typed,evergreen,running shoes,67,confirmed,aio_only,yes,third_page_lift,,,yes,evergreen,long_tail_classical,68.9,65.5,67.7,38.0,0.781,0.85,0.8,0.8,create,assets\samples_followup\semrush_export.csv,35
running shoes anatomy,running shoes anatomy,ahrefs,en,US,480,14,0.45,7,"featured_snippet,paa",195,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,top_page_climb,,,yes,evergreen,mid,68.8,68.5,63.3,25.9,0.634,0.85,0.8,0.8,create,assets\samples_followup\ahrefs_export.csv,25
example shoes near me,example shoes near me,ubersuggest,en,,2900,32,1.25,,,,,,,transactional,decision,voice,evergreen,example shoes near me,8,not_eligible,neither,yes,,yes,,,evergreen,mid,68.7,70.2,65.6,39.9,0.732,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,25
running shoes for plantar fasciitis,running shoes for plantar fasciitis,semrush,en,US,9900,42,1.85,14,"paa,ai_overview",380,,,,informational,awareness,typed,evergreen,running shoes for plantar fasciitis,3,confirmed,aio_only,,third_page_lift,,,yes,evergreen,long_tail_classical,68.6,0.0,65.8,39.0,0.612,0.0,0.8,0.8,restructure,assets\samples_followup\semrush_export.csv,27
running shoes with wide toe box,running shoes with wide toe box,ahrefs,en,US,3600,32,1.15,13,paa,165,,,,informational,awareness,typed,evergreen,running shoes,67,possibly_eligible,neither,yes,second_page_break,,,yes,evergreen,long_tail_classical,68.3,64.3,67.0,33.1,0.612,0.85,0.8,0.8,create,assets\samples_followup\ahrefs_export.csv,15
midsole running shoes explained,midsole running shoes explained,ahrefs,en,US,210,10,0.35,5,featured_snippet,95,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,top_page_climb,,,,evergreen,mid,68.3,69.4,62.3,25.1,0.634,0.85,0.8,0.8,create,assets\samples_followup\ahrefs_export.csv,26
buy running shoes online,buy running shoes online,semrush,en,US,8100,48,2.85,18,shopping,125,,,,transactional,decision,typed,evergreen,running shoes,67,not_eligible,neither,,third_page_lift,,,,evergreen,mid,68.3,0.0,65.8,19.8,0.829,0.0,0.8,0.8,restructure,assets\samples_followup\semrush_export.csv,20
trail running shoes,trail running shoes,moz,en,US,35000,55,,,"shopping,ai_overview",,,,45.0,informational,awareness,typed,evergreen,trail running shoes,7,confirmed,aio_only,,,,,,evergreen,mid,68.1,0.0,66.7,40.1,0.555,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,5
running shoes 2026,running shoes 2026,semrush,en,US,8100,45,1.25,11,ai_overview,240,,,,informational,awareness,typed,event_driven,running shoes,67,confirmed,aio_only,,second_page_break,,,,event_driven,mid,68.1,0.0,65.1,38.8,0.565,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,32
zero drop running shoes,zero drop running shoes,ahrefs,en,US,8100,42,1.45,14,paa,240,,,,informational,awareness,typed,evergreen,zero drop running shoes,2,not_eligible,neither,,third_page_lift,,,yes,evergreen,mid,68.0,0.0,65.4,28.3,0.565,0.0,0.8,0.8,restructure,assets\samples_followup\ahrefs_export.csv,12
running shoes,running shoes,moz,en,US,170000,68,,,"featured_snippet,paa,ai_overview,shopping",,,,42.0,informational,awareness,typed,evergreen,running shoes,67,confirmed,aio_only,,,,,yes,evergreen,head,68.0,0.0,67.2,41.0,0.555,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,2
running shoes review 2026,running shoes review 2026,moz,en,US,5400,45,,,"ai_overview,paa",,,,42.0,commercial_investigation,consideration,typed,event_driven,running shoes review 2026,3,confirmed,aio_only,,,,,yes,event_driven,mid,67.9,0.0,67.4,38.5,0.768,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,19
brooks ghost 16 review,brooks ghost 16 review,semrush,en,US,3600,40,1.45,18,paa,85,,,,commercial_investigation,consideration,typed,evergreen,brooks ghost 16 review,1,not_eligible,neither,,third_page_lift,,,yes,evergreen,mid,67.8,0.0,67.2,23.1,0.781,0.0,0.8,0.8,restructure,assets\samples_followup\semrush_export.csv,26
hoka running shoes,hoka running shoes,moz,en,US,38000,58,,,"shopping,ai_overview",,,,35.0,informational,awareness,typed,evergreen,hoka running shoes,2,confirmed,aio_only,,,,,,evergreen,mid,67.6,0.0,66.5,40.2,0.555,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,9
running shoes for plantar fasciitis,running shoes for plantar fasciitis,moz,en,US,9500,42,,,"paa,ai_overview",,,,52.0,informational,awareness,typed,evergreen,running shoes for plantar fasciitis,3,confirmed,aio_only,,,,,yes,evergreen,long_tail_classical,67.3,0.0,65.7,39.0,0.602,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,16
running shoes for supination,running shoes for supination,moz,en,US,3800,32,,,paa,,,,58.0,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,,,,yes,evergreen,mid,67.1,69.8,65.1,27.7,0.602,0.85,0.8,0.8,create,assets\samples_followup\moz_export.csv,18
running shoes for overpronation,running shoes for overpronation,semrush,en,US,5400,38,1.65,17,paa,125,,,,informational,awareness,typed,evergreen,running shoes for overpronation,2,not_eligible,neither,,third_page_lift,,,yes,evergreen,mid,66.8,0.0,65.1,28.0,0.612,0.0,0.8,0.8,restructure,assets\samples_followup\semrush_export.csv,28
running shoes for overpronation,running shoes for overpronation,moz,en,US,5200,38,,,paa,,,,55.0,informational,awareness,typed,evergreen,running shoes for overpronation,2,not_eligible,neither,,,,,yes,evergreen,mid,66.5,0.0,65.1,27.9,0.602,0.0,0.8,0.8,monitor,assets\samples_followup\moz_export.csv,17
running shoes,running shoes,ubersuggest,en,,168000,72,1.88,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,,,,,,evergreen,head,66.5,0.0,66.8,30.5,0.622,0.0,0.8,0.8,monitor,assets\samples_followup\ubersuggest_export.csv,2
running shoes for new runners,running shoes for new runners,ubersuggest,en,,3600,32,1.15,,,,,,,informational,awareness,typed,evergreen,new balance running shoes,2,possibly_eligible,neither,yes,,,,,evergreen,long_tail_classical,66.4,69.2,65.0,29.1,0.674,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,7
running shoes brand comparison,running shoes brand comparison,ubersuggest,en,,2100,38,1.45,,,,,,,commercial_investigation,consideration,typed,evergreen,running shoes brand comparison,2,not_eligible,neither,,,,,,evergreen,mid,66.3,0.0,66.5,22.6,0.716,0.0,0.8,0.8,monitor,assets\samples_followup\ubersuggest_export.csv,10
example shoes hours,example shoes hours,ubersuggest,en,,580,10,0.25,,,,,,,informational,awareness,typed,evergreen,example shoes near me,8,not_eligible,neither,yes,,yes,,,evergreen,mid,66.3,71.8,64.1,47.0,0.622,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,23
running shoes for road,running shoes for road,ahrefs,en,US,3600,38,1.45,15,ai_overview,125,,,,informational,awareness,typed,evergreen,running shoes,67,confirmed,aio_only,,third_page_lift,,,,evergreen,mid,66.2,0.0,64.4,38.1,0.612,0.0,0.8,0.8,restructure,assets\samples_followup\ahrefs_export.csv,18
running shoes lifespan,running shoes lifespan,generic,en,,2400,28,0.95,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,,,,,evergreen,mid,66.2,69.5,64.7,27.3,0.608,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,20
running shoes mileage,running shoes mileage,generic,en,,1900,25,0.85,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,,,,,evergreen,mid,66.2,69.9,64.6,27.1,0.608,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,21
running shoes for marathon training,running shoes for marathon training,semrush,en,US,2900,42,1.65,9,paa,420,,,,informational,awareness,typed,evergreen,marathon running shoes,5,possibly_eligible,neither,,second_page_break,,,yes,evergreen,long_tail_classical,66.2,0.0,63.6,28.9,0.612,0.0,0.8,0.8,update,assets\samples_followup\semrush_export.csv,7
running shoes that don t cause blisters,running shoes that don t cause blisters,ahrefs,en,US,1200,22,0.85,,paa,185,,,,informational,awareness,typed,evergreen,running shoes,67,possibly_eligible,neither,yes,,,,yes,evergreen,long_tail_classical,66.1,70.3,66.1,32.2,0.676,0.85,0.8,0.8,create,assets\samples_followup\ahrefs_export.csv,7
running shoes for trail,running shoes for trail,ahrefs,en,US,4400,42,1.55,14,ai_overview,185,,,,informational,awareness,typed,evergreen,running shoes,67,confirmed,aio_only,,third_page_lift,,,,evergreen,mid,66.1,0.0,64.4,38.3,0.612,0.0,0.8,0.8,restructure,assets\samples_followup\ahrefs_export.csv,19
minimalist running shoes,minimalist running shoes,ahrefs,en,US,4400,40,1.35,16,paa,125,,,,informational,awareness,typed,evergreen,minimalist running shoes,1,not_eligible,neither,,third_page_lift,,,yes,evergreen,mid,66.0,0.0,64.6,27.8,0.565,0.0,0.8,0.8,restructure,assets\samples_followup\ahrefs_export.csv,14
running shoes for nurses,running shoes for nurses,semrush,en,US,1600,24,1.15,,,,,,,informational,awareness,typed,evergreen,running shoes,67,not_eligible,neither,yes,,,,,evergreen,mid,65.9,69.8,64.4,26.9,0.716,0.85,0.8,0.8,create,assets\samples_followup\semrush_export.csv,34
running shoes drop explained,running shoes drop explained,generic,en,,1300,22,0.75,,,,,,,informational,awareness,typed,evergreen,zero drop running shoes,2,not_eligible,neither,yes,,,,,evergreen,mid,65.8,70.0,64.3,26.7,0.608,0.85,0.8,0.8,create,assets\samples_followup\generic_export.csv,23
running shoes return policy,running shoes return policy,ubersuggest,en,,1300,22,0.85,,,,,,,informational,awareness,typed,evergreen,running shoes return policy,1,not_eligible,neither,yes,,,,,evergreen,mid,65.8,70.0,64.3,26.7,0.622,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,17
example shoes location,example shoes location,ubersuggest,en,,720,15,0.45,,,,,,,informational,awareness,typed,evergreen,example shoes near me,8,not_eligible,neither,yes,,yes,,,evergreen,mid,65.8,70.8,63.9,47.2,0.622,0.85,0.8,0.8,create,assets\samples_followup\ubersuggest_export.csv,24
running shoes for high arches,running shoes for high arches,semrush,en,US,3600,35,1.45,19,paa,65,,,,informational,awareness,typed,evergreen,running shoes for high arches,2,possibly_eligible,neither,yes,third_page_lift,,,yes,evergreen,long_tail_classical,65.7,60.7,64.7,29.1,0.612,0.85,0.8,0.8,create,assets\samples_followup\semrush_export.csv,29
